indonesia,betawi
ya alah tolong ingatkan diri sering khilaf ini agar tidak-pernah lupa menyisihkan 0:),ya Allah tolong ingetin diri khilap mulu inih biar kagak-pernah lupe nyisain 0:)
[USERNAME] Sukses Tim Ombudsman RI dalam segala hal dan mohon kebenaran fakta ditindak lanjuti dengan serius dalam Tempo sesingkat2nya serta tidak menjadikan banyaknya permasalahan membuat menunggu lama sehingga seolah2 mirip dengan penundaan berlaru,[USERNAME] Sukses Tim Ombudsman RI dalem segale hal ame mohon kebeneran pakta ditindak lanjuti pake serius dalem Waktu yang singkat ame kagak jadiin banyak masaleh ngebikin nunggu lame ampe kayak mirip ame penundaan berlaru
"Btw sepanjang JL. Jakarta bahaya banget ya, banyak jalan berlubang, apakabar nih dinas PU Malang? Diem diem baee #kotamalang #savejalanraya #Malang","Ngomong-ngomong sejau JL. Jakarte bahaye banget ye, banyak jalan belobang, apekabar nih dinas PU Malang? Diem diem baee #kotamalang #savejalanraye #Malang"
"Dapet kamar 201, lampu depan toilet mati, kunci kamar manual dan susah dikunci, air panas tidak bisa dipakai","Dapêt pangkèng 201, bohlam dêpan jamban modar, konci pangkèng manual dan susèh dikonci, aèr panas kagak bisè dipakè"
"Telat sekolah, ngampus, atau ngantor masih mending dripada telat ngungkapin perasaan. uda keburu diembat sma temen dianya.. #ARSI","Tlambat kolah, ngampus, ato ngantor masih mending daripade tlambat ngungkepin prasean. udeh keburu diambil ama temen dienye.. #ARSI"
"wifi top kenceng, dekat alun-alun merdeka malang dan dekat tempat peribadatan.. snack bites tidak dibagikan itu membuat SAYA SANGAT KECEWA, kamar seperti tidak dibersihin, sprei kotor","wipi kenceng, deket alun-alun merdeka dan deket tempat solat. cemilan kagak dikasih bikin aye kecewa banget, pangkeng kek kagak diberesin, spre dekil"
tidak ada wifi sesuai yg di iklankan..,kaga ade wipi sesuei nyang di iklanin..
"tapi yah kalau chating, gw lebih suka enter send sih, daripada berspasi alenia panjang panjang gitu ngetiknya kek mau mutusin pacar aja. hahahaah","tapi ye kalo smsan, gw lebih demen teken kirim si, daripade bejeda alinea panjang panjang gitu ngetiknye kek mao mutusin pacar aje. hahahaah"
"Tak yakin ku kan mampu hapus rasa sakitku. Ku selalu perjuangkan cinta kita , namun apa salahku? Hingga ku tak layak dapatkan Kesungguhanmu. . .","Kagak yakin aye bakal sanggup ngilangin rase sakit aye. Aye slalu perjuangin cinte kite, tapi ape salah aye? Ampe aye kagak patut dapetin Keseriusan elu. . . "
@acehkita Setuju #KoinuntukAustralia Mari kembalikan bantuan tsb betul2 dlm bentuk koin biar sesak kantor abbot. Dan lanjutkan eksekusi tsb!,@acehkite Setuju #KoinbuatAustralia Mari kebaliin bantuan ituh bener-bener dalem bentuk koin biar nyesek kantor abbot. Dan lanjutin tindakan ituh!
"kebersihan selimut, sarung bantal, handuk kurang kamar kurang wangi wifi tidak bisa","keresikan selimut, sarung bantal, anduk kurang pangkeng kurang wangi wipi kaga bise"
Ada banyak lagu di hp yang mengingatkan gue tentang lo dan semua yang pernah terjadi diantara kita :'),Ade banyak lagu di hape nyang ngingetin gue tentang lo ama semue nyang perne terjadi diantara kite :')
Dgn cara berpolitik seperti yg dilakukan sekarang PDIP sangat tdk mungkin dipilih rakyat (lagi) #PilkadaSerentak #opini,Amè carè bêpolitik kayak nyang dilakuin karang PDIP amat kagak mungkin dipilih rakyat (lagi) #PilkadaBarêngan #pêndapêt
"pendekkalau gnteng yakin enggak mau?? ? Mau seganteng afgan kalo pendek ya bodo amat,tetep gamau eikeee http://ask.fm/a/bo7moif6 ","cèbol kalo gantêng yakin ogah?? ? Mao sêgantêng Afgan kalo cèbol ya bodo nanan,têtêp ogah ayè http://ask.fm/a/bo7moif6"
Buat apalah susah cari kesana kesini sudah didepan mata? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/1IctLX,Buat apwlah suseh cari kesono kemari udeh didepan mate? ? Kamulah Takdirku oleh Raffi Ahmad & Nagita Slavina ? https://path.com/p/1IctLX
Demokrat niai keputusan presiden beri kepastian http://ow.ly/2USpru,Demokrat anggep ketetepan presiden ngasi kepastian http://ow.ly/2USpru
"AC ga dingin, ga bs change kamar pula dan parkiran sempit hnya cukup 5 motor.  Cukup sekali kesini deh","AC kaga adem, kaga bise ngubah pangkeng juge ama parkiran sempit tibang cukup 5 motor.  Cukup sekali kemari deh"
aduh mentang2 cantik jadi kamu bisa nilai kekurangan orang senaknya begitu ya jangan sombong mbak cantikmu itu milik tuhan,hadeh mentang-mentang botoh jadi eluh bise nilei kejelekan orang semaunye begituh ye jangan somse mpok botoh eluh ituh punye Tuhan 
kamar sesuai harga.. pelayanan staff sangat baik. ada air panas. tapi sepray kuning smua. handuknya coklat bau belum kering. tidak ada lift tapi saya betah disana,pangkeng sesuei harge.. pelayanan staf bae amet. ade aer panas. tapi sepre kuning semue. anduknye coklat bau belon kering. kaga ade lift tapi aye betah disono
"kalo foto profilku emg vulgar y ok gpp, tp fotoku cuman selfie, close up gitu seleher doang agak bawah dikit ngg keliatan dadanya sama sekali dan .... w pake kerudung.","kalo poto profil ayè èmang vulgar yè oke kagak apè-apè, tapi poto ayè tibang swapoto, jarak dêkêt gono sêlèhèr ajè radè bawèh dikit kagak kêliatan dadènyè acan dan .... ayè pakè kudungan."
"#OldMoneyGakNgerasain paniknya jika benda ini dibagikan guru pas dikelas. Rela gak kekantin atau ke wc demi jaga benda ini. Bukan karna malu nilainya, tapi karna takut ketahuan nama orang tua.","#OrangKayèLamèKagakNgêrasèin paniknyè kalo bênda êni dibagiin guru pas di kêlas. Rèla kagak kê kantin atau kê sumur dêmi jagè bênda êni. Bukan karna jêngah hargènyè, tapi karna ngêri kêtauan namè orang tuè."
"Woh, kok bisa? :D RT @Arlaaan: sempet juga nyobain kimchi chigae buatan farah quinn di kantor :D","Woh, kok bisè? :D RT @Arlaaan: kêsampèan jugè nyobèin kimchi chigae bikinan Farah Quinn di kantor :D"
Selamat makan siang.. Semoga makanan kita menjadi berkah ya..,Selamet gegares siang.. Semoge gegaresan kite jadi berkah ye..
"Kamar bersih, perlengkapan mandi ok, hanya saja kamar terlalu sempit dan tidak wangi","Pangkeng resik, perlengkapan guyang oke, tiban pangkeng kebangetan sempit ama kaga wangi"
"Happy first mensive sayang [USERNAME] Maaf belum bisa jadi yg terbaik buat kamu, belum bisa bahagia in kamu sepenuhnya. Tpi gua selalu mencoba berubah jadi lebih baik buat aley  Ily bae  stay with me ya [URL]","Sêlamêt atu bulan jadian sayang [USERNAME] Maap bêlon bisè jadi nyang têrbaèk buat êlu, bêlon bisè bahagièin êlu sêpênuhnyè. Tapi ayè sêlalu nyoba bêrobah jadi lêbih baèk buat Aley  ayè cintè êlu sayang  têtêp amè ayè yè [URL]"
"Sekarang gue kerjaannya cari info, cara ibu yg baru melahirkan buat refreshing. Karna kalo ga refreshing, tubuh ga bisa bohong ga sih? Takutnya drop dan malah ngaruh ke si bayi","Karang gue gaweannye nyari inpo, care emak yg baru ngebrojolin buat nyegerin. Karne kalo kaga disegerin, awak kaga bise boong ga si? Ngerinye drop ama malah ngaruh ke si orok"
"Kok aku jatuh cinta banget sama kamu kalau lagi poni samping sayang Apalagi kalau senyum gini, rela deh ngelakuin apapun buat jagain senyuman diwajah kamu By : [USERNAME]","Kok aye demen amat ame lu kalo lagi poni samping sayang Apelagi kalo nyengir gini, rela dah ngelakuin apage buat ngejage senyuman dimuke lu Dari : [USERNAME]"
"Penting bgt--> @VIVA_log: Tas Hermes Rp1,5 Miliar Dipakai Belanja Sayur oleh Syahrini http://dlvr.it/8fs9jm  ",Penting banget-->@VIVA_log: Tas Hermes atu tengah miliar dipake blanje sayur ma syahrini http://dlvr.it/8fs9jm
"old school hotelnya. kebersihannya bisa lah ditingkatkan lagi, bakwan sarapannya masih belom mateng pas saya makan","sekoleh tue hotelnye. keresikannye biselah ditambahin lagi, bala-bala nyarapnye masih belom mateng pas aye gegares"
"Entah kapankah itu,menunggu itu lebih baik dari mencari,?? ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/15tpWQ ","Auk dah kapankah onoh, nunggu onoh lêbih baèk dari nyari,?? ? Kamu yang Kutunggu (barêng Afgan) olèh Rossa ? https://path.com/p/15tpWQ"
[USERNAME] min pengajuan reksa dana saya di setujui tgl 28/05. Kok gk dapat voucher gift card. Cek email pun tdk ad [URL],[USERNAME] min pengajuan reksa dane aye di setujui tgl 28/05. Kok kagak dapet kartu hadieh diskon. Cek surat elektronik juge kagak ade [URL]
"My favorite song in albums Terimakasih Nambawan, terimakasih Dynamic Duo, terimakasih GRAY oppa, terimakasih semuanya Lagunya membuatku mood booster untuk kerjain skripsishit #WannaOne #nowplaying [URL]","Lagu kesenengan aye di album Makasih Nambawan, makasih Dynamic Duo, makasih GRAY oppa, makasih semuenye Lagunye bikin aye semenggah buat kerjain skripsishit #WannaOne #lagidimaenin [URL]"
[USERNAME] Meskipun syarat ke dua adalah bucin baejin tapi ku sayang wanna one siapapun membernya dan berjanji tidak pernah akan membuang barang barang apapun tentang wanna one [URL],[USERNAME] Walao juge syarat ke dua ntu bucin baejin tapi aye sayang wanna one siape juge anggotanye ame bejanji kagak pernah bakal ngebuang barang-barang ape juge tentang wanna one [URL]
"Jangan pilih Jokowi, atau golput aja sekalian, nanti Pancasila yg menjadi dasar negara kita sekarang akan ikutan terganti.. Mau?? Mmmmmoh!!!","Entong milih Jokowi, atau golput aje sekalian, ntar Pancasila nyang jadi dasar negare kite karang bakal ikutan keganti.. Mao?? Ogaaaahh!!!"
"Paling males pas bangun pagi siap2 ke sekolah. Apalagi kalo cuaca mendung atau gerimis,berharap hujan gede biar ga jdi berangkat sekolah :)","Paling males pas melek mate pagi siap-siap ke sekola. Apelagi kalo cuaca mendung atau grimis, pengennya ujan gede bagen kaga jadi berangkat sekola :)"
"Kau pergi dengan hal-hal yang tak pernah bisa kulepas, sungguh mencintaimu perihal bertarung dengan sesak napas.","Elu minggat ame hal-hal yang kagak pernah bise aye antepin,sungguh mencintai elu soal betarung pake sesek napas."
"Kamar mandi pengap karena blower tidak nyala, handuk kotor, AC tidak dingin paling rendah suhu 25degC","Jamban engap soalnye ilir kagak nyale, anduk kotor, AC kagak dingin paling rendah suhu 25degC"
"Coba deh taruh pot tanaman di sekitar meja kantor. Gak cuma mempercantik ruangan, tapi punya manfaat lain lho! ","Coba deh taro pot taneman di sekitar meja kantor. Kaga cuman ngecakepin ruangan, tapi punye manpaat laen lho! "
liat vlive kemaren2 do megang hp jae terus hari ini jae megang hp do serem ga kalo screennya locked terus mereka bisa buka lock hp satu sama lain pake fingerprint?!!!!!!!!!!!!!!! serem lah,liet vlive kemaren-kemaren die megang hape jae mulu hari ini jae megang hape do serem kagak kalo layarnye kekonci terus die orang bise buke konci hape satu same laen pake sidik jari?!!!!!!!!!!!!!!! serem lah
Wifi tdk ada & pintu kamar mandi tdk bisa terkunci...,Wifi kagak ada & bilik jamban kagak bise dikonci...
"Baca pesan di whatsapp kemudian berpikir.. Gw tu kadang suka terlalu baik sama orang. Tapi lalu gw sadar. Gak kadang si, emang selalu. Maklum, angelic.","Baca pêsên di Whatsapp têrus mikir.. Guah tuh kadang suka kêbangêtan baèk ama orang. Tapi têrus guah nyadar. Ora jarang sih, èmang sêlalu. Nauin, kèk malaèkat."
"Ade : mas udah makan? Gw : (wah tumben nanyain) belom, makan aja duluan Ade : maksudnya kucingnya udah makan apa belom Gw : et lu liat aje sono tempat makannya. Memang memang","Ade : bang udeh gegares? Aye : (wah tumben, nanyain) belom, gegares aje duluan Ade: maksudnye kucingnye udeh gegares ape belom Aye: hetdah elu liat aje sono tempat gegaresannye. Emang emang"
Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnye die ngomong kalo make lagi dengerin musik nyang kuar musiknye Shinhwa mulu. Bikin pengen joget wkwk xD. Ntu namenye reaksi spontan si xD [URL]
iya tur iya jangan sombong lagi ya :d lah mav kalau sudah sombong sma kam tur :/ dari kemaren2,iye tur iye jangan blagu lagi ye :d lah maap kalo udeh blagu ame elu tur :/ dari maren-maren
"Intinya ketika kamu yakin semua seleksi bisa kamu lalui di dunia ini, ingattt masih ada seleksi alam yg kamu ga tau kapan ujiannya, dan itu mudah atau sulit.","Pokoknye pas elu yakin semue pilihan bise elu jalanan di dunie ini, ingett masih ada pilihan alam yang elu kagak tau kapan cobaanye, ame ntu gampang ape suseh."
"Jam 2 malam nonton video video penampakan di yutup, takut sih, mana lampu rumah gue matiin semua.","Jem 2 malem panteng pidio-pidio penampakan di yutup, iseng sih, mane lampu rumeh aye matiin semue."
"Tutup malu """"@NKRIndonesia79: Aneh bin ajaib :) >> PDIP Dinilai Aneh bila Terima Badrodin Kapolri http://ln.is/nasional.inilah.com/T4Bdw ? ||@PintarPolitik","Nutup malu """"@NKRIndonesia79: Aneh bin Ajaib :) >> PDIP Dinilei Aneh jike Terime Badrodin Kapolri http://ln.is/nasional.inilah.com/T4Bdw ? ||@PinterPolitik"
"Kalo lagi dirumah. Lebih enak tiduran, mainin hp, dgrn lagu & nonton tv. Dan kalo udh bete bgt dirumah, lebih memilih tidur. :)","Kalu lagi di rumah. Lêbih ènak rêbahan, maènin hapè, dêngêrin lagu & nonton tipi. Ama kalu udah bosên pisan di rumah, lêbih milih molor. :)"
"Rumah bukan sekedar benda mati tempat kita kembali setelah kita pergi, tapi rumah adalah tempat kembali untuk segala pergi,seperti keluarga (ayah & ibu) yg bisa menenangkan saat kita marah kepada dunia tapi mereka tetap mendukung dan ada pada titik terendah kita. Rumahku surgaku [URL]","Rumeh bukan sekedar benda mati tempat kite kembali sesudeh kite minggat, tapi rumeh iyelah tempat balek buat sgale minggat,kek kluarge (babeh & enyak) nyang bise buat adem ayem pas kite ngamuk kepade dunie tapi die pade tetep mendukung dan ade pade titik terendeh kite. Rumeh aye surge aye [URL]"
"pagi ini nonton berita headline nya bikin takut mulai dari 'Suami bunuh istri' , 'Kakek perkosa cucu' , 'Ayam bakar solo' . ngeri banget nih berita","pagi ênih nonton bêrita tajuk bêritanyah ngêja ngêri mulè dari 'Laki bunuh bini' , 'Êngkong mêrkosa cucu' , 'Ayam bakar solo' , ngêri êmên nih bêrita"
"masrakat nelayan di kbt merauke papua, resa dan gelisa karna lambatnya keluar surat surat (dukumen) kapal nelayan bakkan ada sampai tahunan,padahal masrakat nelayan menbayar mahal sampai 20 jutaan ditanba maraknya pungutan liar..","masyarakat nelayan di kbt merauke papua, waswas dan gelise karne leletnye kuar surat surat (dokumen) kapal nelayan malahan ade ampe taunan,pedahal masyarakat nelayan ngebayar mahal ampe 20 jutaan ditamba seringnye pungutan liar.."
Nangroe Aceh Darussalam memang Istimewa Al Fatihah buat Teuku Markam dan salam hormat buat keluarga Teuku Markam dari kami rakyat Indonesia [URL],Nangroe Aceh Darussalam emang Istimewa Al Fatihah bakal Teuku Markam ame salam hormat bakal keluarge Teuku Markam dari kite rakyat Indonesia [URL]
"Setelah Pakai Berlian 5 M, Kini Syahrini Dandan Nggak Nyambung: Syahrini yang biasanya tampil mewah disertai p... http://bit.ly/18c9pNO ","Abis Maké Bêrlian 5 Miliar, Karang Syahrini Dandan Ora Sêrasi: Syahrini nyang sari-sarinyah tampil  mèwah dibarêngin p... http://bit.ly/18c9pNO"
Dari Kamar nya bagus banget. Sayang pelayan nya agak lama,Dari Pangkengnye cakep banget. Sayang pelayan nye mayan lelet
